CUST_ID,DTH_INIT_SOL_ID,TRAN_DATE,Post Customer,PART_TRAN_TYPE,TRAN_SUB_TYPE,BU_CODE,BU_NAME,GROUP_CODE,GROUP_NAME,TEAM_CODE,TEAM_NAME,DESK_CODE,DESK_NAME,RM_CODE,RM_NAME,Post TRAN_AMT_VAL,Post TRAN_AMT
498405484,498,1/24/2023 0:00,498405484,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,26347,"UMEODIKA, Mrs. NONYE SUZAN",5400000,"?5,400,000.00"
498000279,498,12/28/2022 0:00,498000279,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27032,IDOKO COMFORT ALADI,6000000,"?6,000,000.00"
498002119,498,11/22/2022 0:00,498002119,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27942,JOSEPH ANOINTING PAM,5668600,"?5,668,600.00"
498002119,498,12/20/2022 0:00,498002119,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27942,JOSEPH ANOINTING PAM,5461200,"?5,461,200.00"
498002119,498,12/23/2022 0:00,498002119,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27942,JOSEPH ANOINTING PAM,6750000,"?6,750,000.00"
498002119,498,12/23/2022 0:00,498002119,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27942,JOSEPH ANOINTING PAM,5189150,"?5,189,150.00"
498002119,498,1/9/2023 0:00,498002119,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27942,JOSEPH ANOINTING PAM,9080500,"?9,080,500.00"
498002119,498,1/24/2023 0:00,498002119,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,49875,NRG - MAKURDI MODERN MARKET,27942,JOSEPH ANOINTING PAM,5756250,"?5,756,250.00"
253029861,201,12/21/2022 0:00,253029861,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",6402500,"?6,402,500.00"
340439136,340,12/6/2022 0:00,340439136,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,18866,"ATTOH, Mr. CELESTINE",6552000,"?6,552,000.00"
222428416,222,12/28/2022 0:00,222428416,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,22275,NRG - KATSINA-ALA,20542,"GUYIT, Mr. SAMUEL KATMWOL",5061900,"?5,061,900.00"
627409218,557,1/4/2023 0:00,627409218,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,55775,NRG - OTUKPO MARKET,18802,"OGOH, Mr. BRIGHT AHULO",5146100,"?5,146,100.00"
627424603,627,12/20/2022 0:00,627424603,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5184000,"?5,184,000.00"
627424603,627,1/3/2023 0:00,627424603,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5138000,"?5,138,000.00"
627424603,627,1/5/2023 0:00,627424603,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",7600000,"?7,600,000.00"
627424603,627,1/13/2023 0:00,627424603,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5000570,"?5,000,570.00"
627424603,627,1/17/2023 0:00,627424603,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,23519,"ATI, Mr. DAVID DYAKO",5473000,"?5,473,000.00"
576010988,253,12/6/2022 0:00,576010988,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,57675,NRG - GBOKO,27942,JOSEPH ANOINTING PAM,7250000,"?7,250,000.00"
627412678,486,1/23/2023 0:00,627412678,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,22185,"CHADO, Miss SEWUESE SUSAN",6000000,"?6,000,000.00"
627412678,486,1/24/2023 0:00,627412678,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,22185,"CHADO, Miss SEWUESE SUSAN",6000000,"?6,000,000.00"
627412678,486,1/26/2023 0:00,627412678,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,62775,NRG - MARKURDI NORTHBANK BRANCH,22185,"CHADO, Miss SEWUESE SUSAN",7000000,"?7,000,000.00"
340008106,340,12/29/2022 0:00,340008106,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,27942,JOSEPH ANOINTING PAM,5520000,"?5,520,000.00"
340008106,340,1/5/2023 0:00,340008106,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,27942,JOSEPH ANOINTING PAM,9760000,"?9,760,000.00"
340439466,340,1/23/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,6500000,"?6,500,000.00"
340439466,340,1/24/2023 0:00,340439466,CREDIT,NR,6,NORTH REGION,604,NRG-NORTH CENTRAL 2,60404,NRG-RBN - MAKURDI,34075,NRG - VANDEIKYA,30790,NENKER NGUTOR,6500000,"?6,500,000.00"
