Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
201021101,17877,24,74387.50%,164643072180.83002,₦238574000.00,68911.32%
248403191,17877,24,74387.50%,164643072180.83002,₦283277940.00,58020.68%
252463509,17877,24,74387.50%,164643072180.83002,₦240050000.00,68486.99%
312021850,17877,24,74387.50%,164643072180.83002,₦150524000.00,109279.95%
356037309,17877,24,74387.50%,164643072180.83002,₦238479110.00,68938.78%
498401472,17877,24,74387.50%,164643072180.83002,₦146401000.00,112360.35%
816408867,17877,24,74387.50%,164643072180.83002,₦120000000.00,137102.56%
220010418,17877,23,77626.09%,164643072180.83002,₦205390000.00,80061.19%
377400436,17877,23,77626.09%,164643072180.83002,₦145638000.00,112949.53%
553012862,17877,23,77626.09%,164643072180.83002,₦143815500.00,114382.15%
618003603,17877,23,77626.09%,164643072180.83002,₦206418750.00,79661.68%
623413913,17877,23,77626.09%,164643072180.83002,₦261935000.00,62756.46%
634000731,17877,23,77626.09%,164643072180.83002,₦259540665.00,63336.33%
721003986,17877,23,77626.09%,164643072180.83002,₦255532500.00,64331.36%
119421090,17877,22,81159.09%,164643072180.83002,₦211221000.00,77848.25%
147006614,17877,22,81159.09%,164643072180.83002,₦149130880.00,110301.73%
167416367,17877,22,81159.09%,164643072180.83002,₦179279990.00,91735.72%
220009398,17877,22,81159.09%,164643072180.83002,₦225475285.00,72920.45%
222005642,17877,22,81159.09%,164643072180.83002,₦215458225.00,76315.31%
252429162,17877,22,81159.09%,164643072180.83002,₦145262500.00,113241.76%
255006524,17877,22,81159.09%,164643072180.83002,₦162136000.00,101446.28%
272400807,17877,22,81159.09%,164643072180.83002,₦110000000.00,149575.52%
363009381,17877,22,81159.09%,164643072180.83002,₦282630000.00,58153.93%
366416453,17877,22,81159.09%,164643072180.83002,₦110000000.00,149575.52%
377014453,17877,22,81159.09%,164643072180.83002,₦148371500.00,110866.78%
377402735,17877,22,81159.09%,164643072180.83002,₦157545000.00,104405.43%
389008186,17877,22,81159.09%,164643072180.83002,₦192934500.00,85236.25%
512407636,17877,22,81159.09%,164643072180.83002,₦177044300.00,92895.41%
567002076,17877,22,81159.09%,164643072180.83002,₦187619360.00,87653.78%
721403039,17877,22,81159.09%,164643072180.83002,₦156969855.00,104788.34%
110064489,17877,21,85028.57%,164643072180.83002,₦160208500.00,102668.00%
175408895,17877,21,85028.57%,164643072180.83002,₦105000000.00,156702.93%
220007963,17877,21,85028.57%,164643072180.83002,₦193880100.00,84820.05%
254015471,17877,21,85028.57%,164643072180.83002,₦204519500.00,80402.38%
352401352,17877,21,85028.57%,164643072180.83002,₦143544005.00,114598.68%
356405679,17877,21,85028.57%,164643072180.83002,₦286177500.00,57431.80%
364021616,17877,21,85028.57%,164643072180.83002,₦315498180.00,52085.11%
512001285,17877,21,85028.57%,164643072180.83002,₦278297200.00,59060.88%
512401191,17877,21,85028.57%,164643072180.83002,₦205618000.00,79972.31%
517415390,17877,21,85028.57%,164643072180.83002,₦105000000.00,156702.93%
617001499,17877,21,85028.57%,164643072180.83002,₦105000000.00,156702.93%
646400190,17877,21,85028.57%,164643072180.83002,₦160207500.00,102668.64%
663408586,17877,21,85028.57%,164643072180.83002,₦152406950.00,107928.59%
684002272,17877,21,85028.57%,164643072180.83002,₦153436000.00,107204.07%
789419210,17877,21,85028.57%,164643072180.83002,₦236150675.00,69619.50%
142025929,17877,20,89285.00%,164643072180.83002,₦159918000.00,102854.68%
162429709,17877,20,89285.00%,164643072180.83002,₦165794000.00,99205.81%
183413708,17877,20,89285.00%,164643072180.83002,₦133748260.00,122999.23%
222421774,17877,20,89285.00%,164643072180.83002,₦144835000.00,113576.30%
228406691,17877,20,89285.00%,164643072180.83002,₦282115000.00,58260.27%
252009888,17877,20,89285.00%,164643072180.83002,₦156752400.00,104933.84%
275404422,17877,20,89285.00%,164643072180.83002,₦156712345.00,104960.69%
305004695,17877,20,89285.00%,164643072180.83002,₦129390000.00,127145.59%
324002238,17877,20,89285.00%,164643072180.83002,₦146276500.00,112456.06%
398409667,17877,20,89285.00%,164643072180.83002,₦345050000.00,47615.71%
678401451,17877,20,89285.00%,164643072180.83002,₦141500000.00,116255.53%
